Provincias;Población Total;Renta media por hogar;Edad media;Porcentaje de hogares con dispositivos de energía renovable
Albacete;385727;30908;43.67752322238267;4.314061590196861
Alicante/Alacant;1901594;28965;43.76688925185923;4.036059976402042
Almería;740534;28442;40.32044848717277;6.713842035208567
Araba/Álava;334412;38586;44.565691422556604;10.445423882543011
Asturias;1004686;33242;48.68338963616493;5.0313676562166485
Badajoz;666971;27243;43.78070110994331;4.284820916745457
Barcelona;5727615;41594;42.89217780873889;6.148334823194686
Bizkaia;1149344;40694;46.103247591669685;5.066981026531365
Burgos;355045;34530;46.68604543086088;5.041191843882249
Cantabria;585402;34461;45.91393264799232;3.4500259908233972
Castellón/Castelló;590616;32694;43.51042470911726;4.248335365281815
Ciudad Real;490806;29290;44.066242058980535;4.2337207090981055
Coruña, A;1119180;34683;47.24261334191104;3.7637144810503718
Cuenca;195215;29064;45.921312399149656;4.592573977508325
Cáceres;387805;26529;46.531671845386214;4.7267928274793265
Cádiz;1246781;30055;42.21228507652908;8.209187456271342
Córdoba;772464;29082;43.69378508254106;6.240187873833897
Gipuzkoa;724418;43392;45.14539809888766;5.352706704655504
Girona;793478;37444;42.243670271891595;5.622456412346883
Granada;921987;29113;42.74662549471956;6.498633545656589
Guadalajara;268127;35509;41.69619620552947;7.19346102519821
Huelva;528763;29133;42.09964388582409;7.828205305948643
Huesca;225456;34901;45.25832978496913;5.696279912416223
Jaén;623761;27429;43.76587026120581;4.6103677505445075
León;448179;31392;49.24604231791316;4.7350366749387085
Lleida;441443;35640;43.24068112984009;4.726341316583086
Lugo;323989;30709;49.98722796144313;2.8206825804480204
Madrid;6750336;45726;42.52777298789275;7.618574712083433
Murcia;1531878;32743;40.696911242279086;4.774558746962079
Málaga;1717504;30644;42.41661504136235;6.0583362707084945
Navarra;664117;40760;43.27407369484594;6.4650613385626166
Ourense;304280;29073;50.72758971999474;2.8646559323694065
Palencia;158008;32105;48.20278720064807;4.656689478829811
Pontevedra;943015;33230;46.04912329072178;3.6229160514376226
Rioja, La;319892;33314;44.45862353544321;4.419237127381597
Salamanca;325898;30435;48.311732505262384;4.042366773596371
Segovia;153803;33362;45.849528292686095;4.45177769668893
Sevilla;1948393;31899;41.712633950132236;12.301336612791774
Soria;88377;33830;47.28416895798681;9.921941376380628
Tarragona;830075;34872;42.88057705629009;5.281246455102047
Teruel;134421;32889;46.11338258159068;5.284367535238234
Toledo;713453;30626;42.21760228073889;4.016496934231516
Valencia/València;2605757;34198;43.40447056268102;3.6176838115770105
Valladolid;517975;34708;46.250527535112695;3.979309406052906
Zamora;167215;27928;51.069587058577284;3.3244380717197064
Zaragoza;966438;36098;44.531061485579;6.7367665658089955
Ávila;158140;28227;47.86603009991147;4.210416883251898
